Range: 0 seconds to 4 minutes 16.1 seconds.

Call Paths:

[Process]/{Thread}/Code,# Total: Samples,% Total: Samples,# Self: Samples,% Self: Samples,# Process: Samples,% Process: Samples,Stack Depth,Location
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"      <unknown code in libart.so>",16,0.03%,16,0.03%,16,0.03%,0,libart.so
"      <unknown code in libbinder.so>",4,< 0.01%,3,< 0.01%,4,< 0.01%,0,libbinder.so
"        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"    <unknown code in libart.so>",248,0.49%,201,0.40%,248,0.49%,0,libart.so
"      <unknown code in libm.so>",14,0.03%,14,0.03%,14,0.03%,0,libm.so
"      <unknown code in memfd:jit-cache (deleted)>",13,0.03%,13,0.03%,13,0.03%,0,memfd:jit-cache (deleted)
"      <unknown code in libartpalette-system.so>",8,0.02%,2,< 0.01%,8,0.02%,0,libartpalette-system.so
"        <unknown code in libcutils.so>",6,0.01%,5,< 0.01%,6,0.01%,0,libcutils.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"      <unknown code in libopenjdk.so>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,libopenjdk.so
"      <unknown code in libutils.so>",5,< 0.01%,2,< 0.01%,5,< 0.01%,0,libutils.so
"        <unknown code in libc.so>",3,< 0.01%,1,< 0.01%,3,< 0.01%,0,libc.so
"          <unknown code in [vdso]>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,[vdso]
"      <unknown code in libartpalette.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libartpalette.so
"      <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  AudioTrack #975",938,1.84%,,,938,1.85%,,-
"    <unknown code in libc.so>",936,1.84%,,,936,1.84%,0,libc.so
"      <unknown code in libandroid_runtime.so>",936,1.84%,,,936,1.84%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",936,1.84%,12,0.02%,936,1.84%,0,libutils.so
"          <unknown code in libaudioclient.so>",922,1.81%,142,0.28%,922,1.82%,0,libaudioclient.so
"            <unknown code in libc.so>",566,1.11%,566,1.11%,566,1.11%,0,libc.so
"            <unknown code in libwilhelm.so>",173,0.34%,18,0.04%,173,0.34%,0,libwilhelm.so
"              <unknown code in libUnreal.so>",132,0.26%,17,0.03%,132,0.26%,0,libUnreal.so
"                <unknown code in libc.so>",66,0.13%,66,0.13%,66,0.13%,0,libc.so
"                <unknown code in libwilhelm.so>",49,0.10%,6,0.01%,49,0.10%,0,libwilhelm.so
"                  <unknown code in libaudioclient.so>",43,0.08%,24,0.05%,43,0.08%,0,libaudioclient.so
"                    <unknown code in libaudioclient_aidl_conversion.so>",9,0.02%,9,0.02%,9,0.02%,0,libaudioclient_aidl_conversion.so
"                    <unknown code in libc++.so>",6,0.01%,3,< 0.01%,6,0.01%,0,libc++.so
"                      <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"                    <unknown code in libutils.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libutils.so
"                    <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"              <unknown code in libc.so>",23,0.05%,23,0.05%,23,0.05%,0,libc.so
"            <unknown code in libutils.so>",32,0.06%,18,0.04%,32,0.06%,0,libutils.so
"              <unknown code in libc.so>",14,0.03%,4,< 0.01%,14,0.03%,0,libc.so
"                <unknown code in [vdso]>",10,0.02%,10,0.02%,10,0.02%,0,[vdso]
"            <unknown code in libdl.so>",9,0.02%,9,0.02%,9,0.02%,0,libdl.so
"          <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  SwappyThread3 #32739",803,1.58%,,,803,1.58%,,-
"    <unknown code in libGLES_mali.so>",579,1.14%,38,0.07%,579,1.14%,0,libGLES_mali.so
"      <unknown code in libc.so>",541,1.06%,536,1.06%,541,1.07%,0,libc.so
"        <unknown code in [vdso]>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,[vdso]
"        <unknown code in linker64>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,linker64
"    <unknown code in libc.so>",219,0.43%,105,0.21%,219,0.43%,0,libc.so
"      <unknown code in libUnreal.so>",114,0.22%,,,114,0.22%,0,libUnreal.so
"        <unknown code in libswappy.so>",114,0.22%,7,0.01%,114,0.22%,0,libswappy.so
"          <unknown code in libc.so>",86,0.17%,85,0.17%,86,0.17%,0,libc.so
"            <unknown code in [vdso]>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,[vdso]
"          <unknown code in libEGL.so>",11,0.02%,7,0.01%,11,0.02%,0,libEGL.so
"            <unknown code in libGLES_mali.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libGLES_mali.so
"            <unknown code in libc++.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc++.so
"          <unknown code in libGLES_mali.so>",8,0.02%,5,< 0.01%,8,0.02%,0,libGLES_mali.so
"            <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"          <unknown code in libandroid.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libandroid.so
"            <unknown code in libcutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libcutils.so
"    <unknown code in kernel>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,kernel
"  SwappyThread2 #32730",628,1.23%,,,628,1.24%,,-
"    <unknown code in libc.so>",623,1.23%,,,623,1.23%,0,libc.so
"      <unknown code in libUnreal.so>",623,1.23%,,,623,1.23%,0,libUnreal.so
"        <unknown code in libswappy.so>",623,1.23%,,,623,1.23%,0,libswappy.so
"          <unknown code in libandroid.so>",623,1.23%,,,623,1.23%,0,libandroid.so
"            <unknown code in libutils.so>",619,1.22%,17,0.03%,619,1.22%,0,libutils.so
"              <unknown code in libgui.so>",387,0.76%,51,0.10%,387,0.76%,0,libgui.so
"                <unknown code in libswappy.so>",278,0.55%,8,0.02%,278,0.55%,0,libswappy.so
"                  <unknown code in libgui.so>",256,0.50%,9,0.02%,256,0.50%,0,libgui.so
"                    <unknown code in libbinder.so>",225,0.44%,15,0.03%,225,0.44%,0,libbinder.so
"                      <unknown code in libc.so>",208,0.41%,208,0.41%,208,0.41%,0,libc.so
"                      <unknown code in libcutils.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libcutils.so
"                        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"                    <unknown code in libc.so>",11,0.02%,11,0.02%,11,0.02%,0,libc.so
"                    <unknown code in libutils.so>",11,0.02%,9,0.02%,11,0.02%,0,libutils.so
"                      <unknown code in libc.so>",2,< 0.01%,,,2,< 0.01%,0,libc.so
"                        <unknown code in [vdso]>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,[vdso]
"                  <unknown code in libnativedisplay.so>",7,0.01%,4,< 0.01%,7,0.01%,0,libnativedisplay.so
"                    <unknown code in libgui.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libgui.so
"                  <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"                  <unknown code in libandroid.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libandroid.so
"                <unknown code in libc.so>",39,0.08%,39,0.08%,39,0.08%,0,libc.so
"                <unknown code in libc++.so>",12,0.02%,4,< 0.01%,12,0.02%,0,libc++.so
"                  <unknown code in libc.so>",8,0.02%,8,0.02%,8,0.02%,0,libc.so
"                <unknown code in libutils.so>",4,< 0.01%,,,4,< 0.01%,0,libutils.so
"                  <unknown code in libc.so>",4,< 0.01%,1,< 0.01%,4,< 0.01%,0,libc.so
"                    <unknown code in [vdso]>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,[vdso]
"                <unknown code in libcutils.so>",3,< 0.01%,1,< 0.01%,3,< 0.01%,0,libcutils.so
"                  <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libc.so>",215,0.42%,215,0.42%,215,0.42%,0,libc.so
"            <unknown code in libbinder.so>",4,< 0.01%,2,< 0.01%,4,< 0.01%,0,libbinder.so
"              <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"    <unknown code in kernel>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,kernel
"  com.YourCompany.SunTemple2 #32586",511,1.00%,,,511,1.01%,,-
"    <unknown code in libc.so>",507,1.00%,,,507,1.00%,0,libc.so
"      <unknown code in libUnreal.so>",507,1.00%,1,< 0.01%,507,1.00%,0,libUnreal.so
"        <unknown code in libandroid.so>",506,0.99%,5,< 0.01%,506,1.00%,0,libandroid.so
"          <unknown code in libutils.so>",501,0.99%,20,0.04%,501,0.99%,0,libutils.so
"            <unknown code in libgui.so>",330,0.65%,12,0.02%,330,0.65%,0,libgui.so
"              <unknown code in libUnreal.so>",277,0.54%,3,< 0.01%,277,0.55%,0,libUnreal.so
"                <unknown code in libgui.so>",264,0.52%,8,0.02%,264,0.52%,0,libgui.so
"                  <unknown code in libbinder.so>",239,0.47%,27,0.05%,239,0.47%,0,libbinder.so
"                    <unknown code in libc.so>",208,0.41%,208,0.41%,208,0.41%,0,libc.so
"                    <unknown code in libcutils.so>",3,< 0.01%,1,< 0.01%,3,< 0.01%,0,libcutils.so
"                      <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"                    <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"                  <unknown code in libutils.so>",9,0.02%,7,0.01%,9,0.02%,0,libutils.so
"                    <unknown code in libc.so>",2,< 0.01%,1,< 0.01%,2,< 0.01%,0,libc.so
"                      <unknown code in [vdso]>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,[vdso]
"                  <unknown code in libc.so>",7,0.01%,7,0.01%,7,0.01%,0,libc.so
"                  <unknown code in linker64>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,linker64
"                <unknown code in libnativedisplay.so>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,libnativedisplay.so
"                <unknown code in libandroid.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libandroid.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"              <unknown code in libc.so>",36,0.07%,36,0.07%,36,0.07%,0,libc.so
"              <unknown code in libc++.so>",4,< 0.01%,2,< 0.01%,4,< 0.01%,0,libc++.so
"                <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"            <unknown code in libc.so>",151,0.30%,151,0.30%,151,0.30%,0,libc.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  AudioMi-nder(1) #984",487,0.96%,,,487,0.96%,,-
"    <unknown code in libc.so>",484,0.95%,,,484,0.95%,0,libc.so
"      <unknown code in libUnreal.so>",484,0.95%,156,0.31%,484,0.95%,0,libUnreal.so
"        <unknown code in libc.so>",324,0.64%,319,0.63%,324,0.64%,0,libc.so
"          <unknown code in [vdso]>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,[vdso]
"        <unknown code in libGPUCounters.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libGPUCounters.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"        <unknown code in libheapprofd_standalone_client.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libheapprofd_standalone_client.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  RTHeartBeat 0 #363",435,0.86%,,,435,0.86%,,-
"    <unknown code in libc.so>",431,0.85%,,,431,0.85%,0,libc.so
"      <unknown code in libUnreal.so>",431,0.85%,65,0.13%,431,0.85%,0,libUnreal.so
"        <unknown code in libc.so>",358,0.70%,354,0.70%,358,0.71%,0,libc.so
"          <unknown code in [vdso]>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,[vdso]
"        <unknown code in libGPUCounters.so>",8,0.02%,8,0.02%,8,0.02%,0,libGPUCounters.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  mali_gles_ref_c #32649",432,0.85%,,,432,0.85%,,-
"    <unknown code in libc.so>",425,0.84%,,,425,0.84%,0,libc.so
"      <unknown code in libGLES_mali.so>",425,0.84%,79,0.16%,425,0.84%,0,libGLES_mali.so
"        <unknown code in libc.so>",346,0.68%,331,0.65%,346,0.68%,0,libc.so
"          <unknown code in libdl.so>",15,0.03%,11,0.02%,15,0.03%,0,libdl.so
"            <unknown code in linker64>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,linker64
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"    <unknown code in libGLES_mali.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libGLES_mali.so
"      <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"  OnlineA-ance(1) #32678",201,0.40%,,,201,0.40%,,-
"    <unknown code in libc.so>",198,0.39%,,,198,0.39%,0,libc.so
"      <unknown code in libUnreal.so>",198,0.39%,26,0.05%,198,0.39%,0,libUnreal.so
"        <unknown code in libc.so>",166,0.33%,162,0.32%,166,0.33%,0,libc.so
"          <unknown code in [vdso]>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,[vdso]
"        <unknown code in libGPUCounters.so>",6,0.01%,5,< 0.01%,6,0.01%,0,libGPUCounters.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  FAsyncW-Temple2 #32676",194,0.38%,,,194,0.38%,,-
"    <unknown code in libc.so>",190,0.37%,,,190,0.37%,0,libc.so
"      <unknown code in libUnreal.so>",190,0.37%,9,0.02%,190,0.37%,0,libUnreal.so
"        <unknown code in libc.so>",181,0.36%,181,0.36%,181,0.36%,0,libc.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  binder:32377_3 #32389",146,0.29%,,,146,0.29%,,-
"    <unknown code in libc.so>",143,0.28%,,,143,0.28%,0,libc.so
"      <unknown code in libandroid_runtime.so>",143,0.28%,,,143,0.28%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",143,0.28%,,,143,0.28%,0,libutils.so
"          <unknown code in libbinder.so>",143,0.28%,2,< 0.01%,143,0.28%,0,libbinder.so
"            <unknown code in libgui.so>",81,0.16%,27,0.05%,81,0.16%,0,libgui.so
"              <unknown code in libc++.so>",26,0.05%,,,26,0.05%,0,libc++.so
"                <unknown code in libc.so>",26,0.05%,26,0.05%,26,0.05%,0,libc.so
"              <unknown code in libui.so>",16,0.03%,,,16,0.03%,0,libui.so
"                <unknown code in libsync.so>",8,0.02%,2,< 0.01%,8,0.02%,0,libsync.so
"                  <unknown code in libc.so>",6,0.01%,6,0.01%,6,0.01%,0,libc.so
"                <unknown code in libc.so>",7,0.01%,7,0.01%,7,0.01%,0,libc.so
"                <unknown code in libcutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libcutils.so
"              <unknown code in libbinder.so>",8,0.02%,4,< 0.01%,8,0.02%,0,libbinder.so
"                <unknown code in libc++.so>",1,< 0.01%,,,1,< 0.01%,0,libc++.so
"                  <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"                <unknown code in libgui.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libgui.so
"                <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"              <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"            <unknown code in libc.so>",59,0.12%,59,0.12%,59,0.12%,0,libc.so
"            <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"    <unknown code in libart.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libart.so
"  binder:32377_5 #898",144,0.28%,,,144,0.28%,,-
"    <unknown code in libc.so>",141,0.28%,,,141,0.28%,0,libc.so
"      <unknown code in libandroid_runtime.so>",141,0.28%,,,141,0.28%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",141,0.28%,,,141,0.28%,0,libutils.so
"          <unknown code in libbinder.so>",141,0.28%,3,< 0.01%,141,0.28%,0,libbinder.so
"            <unknown code in libgui.so>",79,0.16%,24,0.05%,79,0.16%,0,libgui.so
"              <unknown code in libui.so>",21,0.04%,2,< 0.01%,21,0.04%,0,libui.so
"                <unknown code in libsync.so>",13,0.03%,2,< 0.01%,13,0.03%,0,libsync.so
"                  <unknown code in libc.so>",11,0.02%,11,0.02%,11,0.02%,0,libc.so
"                <unknown code in libc.so>",6,0.01%,6,0.01%,6,0.01%,0,libc.so
"              <unknown code in libc++.so>",18,0.04%,1,< 0.01%,18,0.04%,0,libc++.so
"                <unknown code in libc.so>",17,0.03%,17,0.03%,17,0.03%,0,libc.so
"              <unknown code in libbinder.so>",6,0.01%,4,< 0.01%,6,0.01%,0,libbinder.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"                <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"              <unknown code in libutils.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libutils.so
"              <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libandroid_runtime.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libandroid_runtime.so
"              <unknown code in libcutils.so>",1,< 0.01%,,,1,< 0.01%,0,libcutils.so
"                <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"            <unknown code in libc.so>",58,0.11%,58,0.11%,58,0.11%,0,libc.so
"            <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  Backgro-Pool #1 #32637",136,0.27%,,,136,0.27%,,-
"    <unknown code in libc.so>",133,0.26%,,,133,0.26%,0,libc.so
"      <unknown code in libUnreal.so>",133,0.26%,85,0.17%,133,0.26%,0,libUnreal.so
"        <unknown code in libc.so>",46,0.09%,46,0.09%,46,0.09%,0,libc.so
"        <unknown code in libGPUCounters.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libGPUCounters.so
"        <unknown code in libm.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libm.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  Filter1 #723",110,0.22%,,,110,0.22%,,-
"    <unknown code in libc.so>",106,0.21%,,,106,0.21%,0,libc.so
"      <unknown code in libUnreal.so>",106,0.21%,,,106,0.21%,0,libUnreal.so
"        <unknown code in libswappy.so>",106,0.21%,9,0.02%,106,0.21%,0,libswappy.so
"          <unknown code in libc.so>",94,0.18%,91,0.18%,94,0.19%,0,libc.so
"            <unknown code in [vdso]>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,[vdso]
"          <unknown code in libandroid.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libandroid.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  binder:32377_6 #7752",108,0.21%,,,108,0.21%,,-
"    <unknown code in libc.so>",105,0.21%,,,105,0.21%,0,libc.so
"      <unknown code in libandroid_runtime.so>",105,0.21%,,,105,0.21%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",105,0.21%,,,105,0.21%,0,libutils.so
"          <unknown code in libbinder.so>",105,0.21%,7,0.01%,105,0.21%,0,libbinder.so
"            <unknown code in libgui.so>",63,0.12%,19,0.04%,63,0.12%,0,libgui.so
"              <unknown code in libui.so>",18,0.04%,1,< 0.01%,18,0.04%,0,libui.so
"                <unknown code in libsync.so>",10,0.02%,,,10,0.02%,0,libsync.so
"                  <unknown code in libc.so>",10,0.02%,10,0.02%,10,0.02%,0,libc.so
"                <unknown code in libc.so>",7,0.01%,7,0.01%,7,0.01%,0,libc.so
"              <unknown code in libc++.so>",16,0.03%,1,< 0.01%,16,0.03%,0,libc++.so
"                <unknown code in libc.so>",15,0.03%,15,0.03%,15,0.03%,0,libc.so
"              <unknown code in libbinder.so>",4,< 0.01%,3,< 0.01%,4,< 0.01%,0,libbinder.so
"                <unknown code in libgui.so>",1,< 0.01%,,,1,< 0.01%,0,libgui.so
"                  <unknown code in libui.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libui.so
"              <unknown code in libc.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libc.so
"              <unknown code in libandroid_runtime.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libandroid_runtime.so
"              <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"            <unknown code in libc.so>",35,0.07%,35,0.07%,35,0.07%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  binder:32377_1 #424",100,0.20%,,,100,0.20%,,-
"    <unknown code in libc.so>",98,0.19%,,,98,0.19%,0,libc.so
"      <unknown code in libgui.so>",98,0.19%,8,0.02%,98,0.19%,0,libgui.so
"        <unknown code in libc++.so>",88,0.17%,1,< 0.01%,88,0.17%,0,libc++.so
"          <unknown code in libc.so>",87,0.17%,87,0.17%,87,0.17%,0,libc.so
"        <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  binder:32377_7 #7782",90,0.18%,,,90,0.18%,,-
"    <unknown code in libc.so>",87,0.17%,,,87,0.17%,0,libc.so
"      <unknown code in libandroid_runtime.so>",87,0.17%,,,87,0.17%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",87,0.17%,,,87,0.17%,0,libutils.so
"          <unknown code in libbinder.so>",87,0.17%,2,< 0.01%,87,0.17%,0,libbinder.so
"            <unknown code in libgui.so>",53,0.10%,18,0.04%,53,0.10%,0,libgui.so
"              <unknown code in libc++.so>",14,0.03%,,,14,0.03%,0,libc++.so
"                <unknown code in libc.so>",14,0.03%,14,0.03%,14,0.03%,0,libc.so
"              <unknown code in libui.so>",8,0.02%,1,< 0.01%,8,0.02%,0,libui.so
"                <unknown code in libsync.so>",5,< 0.01%,,,5,< 0.01%,0,libsync.so
"                  <unknown code in libc.so>",5,< 0.01%,5,< 0.01%,5,< 0.01%,0,libc.so
"                <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libbinder.so>",7,0.01%,4,< 0.01%,7,0.01%,0,libbinder.so
"                <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"                <unknown code in libc++.so>",1,< 0.01%,,,1,< 0.01%,0,libc++.so
"                  <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"              <unknown code in libutils.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libutils.so
"              <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libandroid_runtime.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libandroid_runtime.so
"            <unknown code in libc.so>",32,0.06%,32,0.06%,32,0.06%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  Filter0 #722",75,0.15%,,,75,0.15%,,-
"    <unknown code in libc.so>",72,0.14%,,,72,0.14%,0,libc.so
"      <unknown code in libUnreal.so>",72,0.14%,,,72,0.14%,0,libUnreal.so
"        <unknown code in libswappy.so>",72,0.14%,14,0.03%,72,0.14%,0,libswappy.so
"          <unknown code in libc.so>",57,0.11%,56,0.11%,57,0.11%,0,libc.so
"            <unknown code in [vdso]>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,[vdso]
"          <unknown code in libandroid.so>",1,< 0.01%,,,1,< 0.01%,0,libandroid.so
"            <unknown code in libcutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libcutils.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  HttpManager #32677",63,0.12%,,,63,0.12%,,-
"    <unknown code in libc.so>",60,0.12%,,,60,0.12%,0,libc.so
"      <unknown code in libUnreal.so>",60,0.12%,22,0.04%,60,0.12%,0,libUnreal.so
"        <unknown code in libc.so>",25,0.05%,25,0.05%,25,0.05%,0,libc.so
"        <unknown code in libsigchain.so>",13,0.03%,,,13,0.03%,0,libsigchain.so
"          <unknown code in libc.so>",13,0.03%,13,0.03%,13,0.03%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  binder:32377_4 #32623",59,0.12%,,,59,0.12%,,-
"    <unknown code in libc.so>",54,0.11%,,,54,0.11%,0,libc.so
"      <unknown code in libandroid_runtime.so>",54,0.11%,,,54,0.11%,0,libandroid_runtime.so
"        <unknown code in libutils.so>",54,0.11%,,,54,0.11%,0,libutils.so
"          <unknown code in libbinder.so>",54,0.11%,2,< 0.01%,54,0.11%,0,libbinder.so
"            <unknown code in libgui.so>",28,0.06%,13,0.03%,28,0.06%,0,libgui.so
"              <unknown code in libui.so>",5,< 0.01%,,,5,< 0.01%,0,libui.so
"                <unknown code in libsync.so>",3,< 0.01%,,,3,< 0.01%,0,libsync.so
"                  <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"                <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libbinder.so>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,libbinder.so
"              <unknown code in libc++.so>",3,< 0.01%,,,3,< 0.01%,0,libc++.so
"                <unknown code in libc.so>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,libc.so
"              <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"              <unknown code in libutils.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libutils.so
"            <unknown code in libc.so>",24,0.05%,24,0.05%,24,0.05%,0,libc.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"    <unknown code in memfd:jit-cache (deleted)>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,memfd:jit-cache (deleted)
"  FMessag-.Router #849",45,0.09%,,,45,0.09%,,-
"    <unknown code in libc.so>",42,0.08%,,,42,0.08%,0,libc.so
"      <unknown code in libUnreal.so>",42,0.08%,5,< 0.01%,42,0.08%,0,libUnreal.so
